Years,Unemployment Rate in Florida
2010,10.8250000000000000
2011,10.0000000000000000
2012,8.6666666666666667
2013,7.5333333333333333
2014,6.4333333333333333
2015,5.5250000000000000
2016,4.9166666666666667
2017,4.3000000000000000
2018,3.7000000000000000
2019,3.2250000000000000
2020,8.2666666666666667
2021,4.6000000000000000

