Years,Unemployment Rate in Illinois
2010,10.5000000000000000
2011,9.7750000000000000
2012,9.0250000000000000
2013,9.0750000000000000
2014,7.1666666666666667
2015,6.0333333333333333
2016,5.8916666666666667
2017,4.9333333333333333
2018,4.3750000000000000
2019,3.9583333333333333
2020,9.2166666666666667
2021,6.0500000000000000

