County,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Lawrence County, Illinois","16,833","16,903","16,940","16,901","16,728","16,728","16,562","16,465","16,182","16,027","15,813","15,678"
".Lee County, Illinois","36,031","36,038","35,983","35,609","35,216","35,121","34,910","34,521","34,494","34,540","34,296","34,096"
".Livingston County, Illinois","38,950","38,945","38,854","38,805","38,511","37,394","37,036","36,605","36,107","36,124","35,714","35,648"
".Logan County, Illinois","30,305","30,305","30,283","30,270","30,358","29,826","29,660","29,284","29,166","29,034","28,912","28,618"
".McDonough County, Illinois","32,612","32,616","32,634","32,521","32,558","32,253","31,799","31,449","30,907","30,373","29,984","29,682"
".McHenry County, Illinois","308,760","308,882","309,112","308,504","308,230","307,605","307,404","307,572","307,159","307,815","308,251","307,774"
".McLean County, Illinois","169,572","169,577","169,810","170,909","172,721","175,037","174,105","173,141","173,070","172,754","172,410","171,517"
".Macon County, Illinois","110,768","110,777","110,787","110,684","110,134","109,561","108,515","107,343","106,383","105,399","104,504","104,009"
".Macoupin County, Illinois","47,765","47,763","47,797","47,739","47,054","46,680","46,208","45,876","45,691","45,505","45,318","44,926"
".Madison County, Illinois","269,282","269,298","269,310","268,636","268,072","267,268","266,566","265,996","265,641","265,251","264,026","262,966"
".Marion County, Illinois","39,437","39,437","39,416","39,141","39,008","38,669","38,555","38,359","38,045","37,726","37,381","37,205"
".Marshall County, Illinois","12,640","12,646","12,637","12,487","12,259","12,128","11,966","11,925","11,881","11,668","11,483","11,438"
".Mason County, Illinois","14,666","14,666","14,651","14,471","14,322","14,144","14,103","13,863","13,675","13,677","13,533","13,359"
".Massac County, Illinois","15,429","15,431","15,380","15,281","15,066","14,847","14,756","14,567","14,440","14,291","14,023","13,772"
".Menard County, Illinois","12,705","12,705","12,696","12,698","12,691","12,572","12,508","12,356","12,398","12,293","12,289","12,196"
".Mercer County, Illinois","16,434","16,434","16,409","16,316","16,163","16,075","15,901","15,746","15,602","15,608","15,551","15,437"
".Monroe County, Illinois","32,957","32,949","32,994","33,214","33,260","33,457","33,540","33,739","33,913","34,179","34,373","34,637"
".Montgomery County, Illinois","30,104","30,105","30,097","29,864","29,616","29,362","29,449","29,192","29,061","28,781","28,691","28,414"
".Morgan County, Illinois","35,547","35,545","35,503","35,481","35,317","35,000","34,673","34,673","34,632","34,245","34,027","33,658"
".Moultrie County, Illinois","14,846","14,852","14,859","14,856","14,874","14,796","14,751","14,743","14,610","14,701","14,648","14,501"
".Ogle County, Illinois","53,497","53,490","53,414","53,064","52,776","52,266","51,931","51,559","51,148","50,993","50,781","50,643"
".Peoria County, Illinois","186,494","186,496","186,222","186,754","187,317","188,643","187,512","186,481","185,043","182,525","180,620","179,179"
".Perry County, Illinois","22,350","22,346","22,315","22,263","21,846","21,714","21,541","21,521","21,391","21,281","21,144","20,916"
".Piatt County, Illinois","16,729","16,725","16,709","16,679","16,501","16,429","16,409","16,350","16,524","16,422","16,366","16,344"
".Pike County, Illinois","16,430","16,430","16,394","16,348","16,234","16,071","15,956","15,795","15,742","15,668","15,595","15,561"
".Pope County, Illinois","4,470","4,474","4,474","4,498","4,459","4,457","4,375","4,291","4,182","4,183","4,184","4,177"
".Pulaski County, Illinois","6,161","6,161","6,126","5,986","5,962","5,893","5,797","5,657","5,604","5,520","5,434","5,335"
".Putnam County, Illinois","6,006","6,006","6,012","5,976","5,910","5,855","5,832","5,727","5,710","5,694","5,736","5,739"
